libpam0g	1.7.0-5	arm64
libpcre2-8-0	10.46-1~deb13u1	arm64
libpcsclite1	2.3.3-1	arm64
libpng16-16t64	1.6.48-1+deb13u5	arm64
libproc2-0	2:4.0.4-9	arm64
libpsl5t64	0.21.2-1.1+b1	arm64
libqrtr1	1.1-2+b1	arm64
libreadline8t64	8.2-6	arm64
librtmp1	2.4+20151223.gitfa8646d.1-2+b5	arm64
libsamplerate0	0.2.2-4+b2	arm64
libsasl2-2	2.1.28+dfsg1-9	arm64
libsasl2-modules-db	2.1.28+dfsg1-9	arm64
libseccomp2	2.6.0-2	arm64
libselinux1	3.8.1-1	arm64
libsemanage-common	3.8.1-1	all
libsemanage2	3.8.1-1	arm64
libsepol2	3.8.1-1	arm64
libslang2	2.3.3-5+b2	arm64
libsmartcols1	2.41.5-0+deb13u1	arm64
libsqlite3-0	3.46.1-7+deb13u1	arm64
libss2	1.47.2-3+b11	arm64
libssh2-1t64	1.11.1-1+deb13u1	arm64
libssl3t64	3.5.7-1~deb13u2	arm64
libstdc++6	14.2.0-19	arm64
libsystemd-shared	257.13-1~deb13u1	arm64
libsystemd0	257.13-1~deb13u1	arm64
libtasn1-6	4.20.0-2+deb13u1	arm64
libteamdctl0	1.31-1+b2	arm64
libtext-charwidth-perl	0.04-11+b4	arm64
libtext-wrapi18n-perl	0.06-10	all
libtinfo6	6.5+20250216-2	arm64
libtirpc-common	1.3.6+ds-1	all
libtirpc3t64	1.3.6+ds-1	arm64
libudev1	257.13-1~deb13u1	arm64
libunistring5	1.3-2	arm64
libusb-1.0-0	2:1.0.28-1	arm64
libuuid1	2.41.5-0+deb13u1	arm64
libwrap0	7.6.q-36	arm64
libwtmpdb0	0.73.0-3+deb13u1	arm64
libxtables12	1.8.11-2	arm64
libxxhash0	0.8.3-2	arm64
libzstd1	1.5.7+dfsg-1	arm64
linux-base	4.12.1	all
locales	2.41-12+deb13u3	all
login	1:4.16.0-2+really2.41.5-0+deb13u1	arm64
login.defs	1:4.17.4-2	all
logsave	1.47.2-3+b11	arm64
mawk	1.3.4.20250131-1	arm64
mount	2.41.5-0+deb13u1	arm64
nano	8.4-1+deb13u1	arm64
ncurses-base	6.5+20250216-2	all
ncurses-bin	6.5+20250216-2	arm64
netbase	6.5	all
network-manager	1.52.1-1	arm64
nftables	1.1.3-1	arm64
openssh-client	1:10.0p1-7+deb13u4	arm64
openssh-server	1:10.0p1-7+deb13u4	arm64
openssh-sftp-server	1:10.0p1-7+deb13u4	arm64
openssl	3.5.7-1~deb13u2	arm64
openssl-provider-legacy	3.5.7-1~deb13u2	arm64
passwd	1:4.17.4-2	arm64
perl-base	5.40.1-6	arm64
procps	2:4.0.4-9	arm64
protection-domain-mapper	1.0-7	arm64
readline-common	8.2-6	all
rfkill	2.41.5-0+deb13u1	arm64
rmtfs	1.1-4	arm64
runit-helper	2.16.4	all
sed	4.9-2+deb13u1	arm64
sensible-utils	0.0.25	all
sqv	1.3.0-3+b2	arm64
sudo	1.9.16p2-3+deb13u2	arm64
systemd	257.13-1~deb13u1	arm64
systemd-sysv	257.13-1~deb13u1	arm64
sysvinit-utils	3.14-4	arm64
tar	1.35+dfsg-3.1	arm64
tqftpserv	1.1-4	arm64
tzdata	2026b-0+deb13u1	all
ucf	3.0052	all
udev	257.13-1~deb13u1	arm64
usbutils	1:018-2	arm64
util-linux	2.41.5-0+deb13u1	arm64
wget	1.25.0-2	arm64
wpasupplicant	2:2.10-24	arm64
zlib1g	1:1.3.dfsg+really1.3.1-1+b1	arm64
zstd	1.5.7+dfsg-1	arm64
